GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement Coverage,Branch Coverage,Code Complexity
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.KeyedObjectPoolMinIdleTimerTask,17,80,5,5,2,22,4,4,0,3,91.66666667,50,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedKeyedPooledObjectFactory,30,107,0,2,2,32,0,8,0,7,94.11764706,100,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingKeyedObjectPool,30,122,2,6,10,36,5,15,3,13,78.26086957,75,20
Apache Commons Pool,org.apache.commons.pool2,BaseObjectPool,0,44,0,2,0,15,0,10,0,9,100,100,10
Apache Commons Pool,org.apache.commons.pool2,BaseKeyedPooledObjectFactory,0,14,0,0,0,6,0,6,0,6,100,,6
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ObjectPoolMinIdleTimerTask,17,66,5,5,2,20,4,4,0,3,90.90909091,50,8
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.TimerHolder,0,9,0,0,0,2,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2,PooledObjectState,9,109,0,0,0,11,2,2,2,2,100,,4
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedPooledObjectFactory,30,102,0,2,2,32,0,8,0,7,94.11764706,100,8
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedKeyedObjectPool,48,71,1,1,12,23,5,9,4,9,65.71428571,50,14
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxyHandler,0,10,0,0,0,3,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedObjectPool,29,71,1,1,7,24,2,9,1,9,77.41935484,50,11
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxySource,30,41,0,0,7,11,1,3,1,3,61.11111111,,4
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxyHandler,0,10,0,0,0,3,0,2,0,2,100,,2
Apache Commons Pool,org.apache.commons.pool2.proxy,BaseProxyHandler,35,46,0,4,8,16,1,7,1,5,66.66666667,100,8
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxySource,20,39,0,0,5,13,1,3,1,3,72.22222222,,4
